JiraGitKey,JiraTicketKey,StoryPoint,GitHubRepo,CommitMessage,CommitTime,ProjectName,DeveloperKey
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Initial commit for project strategize B2B relationships by Jennifer Wilson,2024-05-20 21:52:13.244042,strategize B2B relationships,4
2,19c7bf25-614f-49c6-80fc-85aaeae46031,8,reinvent vertical networks,Initial commit for project reinvent vertical networks by Elizabeth Smith,2023-05-03 20:18:58.633305,reinvent vertical networks,11
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Douglas Rollins,2023-08-21 03:00:25.840359,productize cross-platform supply-chains,5
4,571dac46-3769-434d-a02e-47ed98a24ce7,12,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Jennifer Wilson,2023-07-17 19:54:56.461210,repurpose viral supply-chains,4
5,455bacf9-e000-46aa-aa83-f07e53dd7aa1,2,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Tanya Ware,2024-02-21 17:14:25.892007,productize cross-platform supply-chains,10
6,e16a4fbb-2de6-4a59-b6e0-2f14f5e8686d,17,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by John Jefferson,2024-01-05 06:28:32.570347,engineer cross-media e-business,8
7,7355ea45-85b3-41a4-813d-5141b3e03f04,12,engineer open-source niches,Initial commit for project engineer open-source niches by Susan Bates,2024-03-09 12:22:51.009807,engineer open-source niches,19
8,7c939b77-366e-4aba-8776-64a50854cae2,6,strategize B2B relationships,Initial commit for project strategize B2B relationships by Joshua Sparks,2024-01-24 08:54:09.674543,strategize B2B relationships,7
9,a564c02f-95b5-4ed8-9d5e-e2b0ff87624d,12,strategize B2B relationships,Initial commit for project strategize B2B relationships by Bradley Hampton,2023-12-20 13:43:15.062582,strategize B2B relationships,15
10,420b7cf5-74c9-40e9-ac3f-825eb0f17022,14,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Mark Bruce,2023-11-08 07:05:21.181844,engineer cross-media e-business,17
11,073f0205-b6ed-43c7-b897-31bb839e10a3,3,reinvent vertical networks,Initial commit for project reinvent vertical networks by Susan Bates,2023-03-04 14:28:19.908107,reinvent vertical networks,19
12,e4f6c461-0a1d-4f21-bea3-1859e3e86674,10,engineer open-source niches,Initial commit for project engineer open-source niches by Joshua Sparks,2023-09-08 08:09:25.487549,engineer open-source niches,7
13,e03056cc-9dd0-4781-913a-8eb119c62e12,10,reinvent vertical networks,Initial commit for project reinvent vertical networks by Joe Carter,2023-10-10 20:30:14.580967,reinvent vertical networks,3
14,62b5203d-1a6b-43bd-983d-6e1d1e093a43,7,synergize B2C experiences,Initial commit for project synergize B2C experiences by Nancy Rogers,2024-02-12 10:48:18.115373,synergize B2C experiences,2
15,47b44681-1145-4395-8e97-6b4385602ce3,18,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Mark Bruce,2024-02-13 13:22:35.955379,productize cross-platform supply-chains,17
16,6ca473e0-2693-46ad-96b2-74a8ea59fabb,5,enable best-of-breed deliverables,Initial commit for project enable best-of-breed deliverables by Joshua Sparks,2023-06-06 22:42:19.364041,enable best-of-breed deliverables,7
17,6ff2ad7a-b4bd-48e7-80d6-18cb0b43655f,5,engineer open-source niches,Initial commit for project engineer open-source niches by Jennifer Chandler,2023-09-08 12:49:24.398555,engineer open-source niches,12
18,1604ca75-a3d0-48b3-a2d0-437dde127cfd,1,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Nancy Rogers,2023-12-11 09:16:36.932773,productize cross-platform supply-chains,2
19,8bd24e36-125e-4ea1-adb6-d3c2eff84205,18,strategize B2B relationships,Initial commit for project strategize B2B relationships by Mark Bruce,2023-12-28 15:15:34.390143,strategize B2B relationships,17
20,12fec87e-d929-40ba-a7bf-86d8b0555028,15,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Christopher Mullen,2024-05-06 10:30:56.868158,engineer cross-media e-business,13
21,9ece37e5-b8e7-49ca-a417-f4c29b2ef367,15,drive customized content,Initial commit for project drive customized content by Joshua Sparks,2024-03-09 01:27:37.954571,drive customized content,7
22,9ec0b799-48f6-4de7-80d9-a61404e3957d,4,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Joshua Sparks,2024-05-14 23:11:51.465278,engineer cross-media e-business,7
23,211d6d82-8b84-41ee-9a9f-3d92c6ca9a74,14,drive customized content,Initial commit for project drive customized content by Christopher Mullen,2024-02-15 10:50:38.674436,drive customized content,13
24,b5160694-2867-4476-b466-4c259082b9a9,6,engineer open-source niches,Initial commit for project engineer open-source niches by Nancy Rogers,2024-06-02 13:55:29.741596,engineer open-source niches,2
25,8b2c2efc-9af9-4880-9e8f-8cf9b733295f,2,enable best-of-breed deliverables,Initial commit for project enable best-of-breed deliverables by Audrey Daniels,2023-11-11 23:33:56.394755,enable best-of-breed deliverables,1
26,8981ef10-f76d-412e-a78f-4888bc3b15e4,5,reinvent vertical networks,Initial commit for project reinvent vertical networks by Elizabeth Arroyo,2024-03-05 08:05:36.507289,reinvent vertical networks,9
27,4e60d179-bac0-4f2e-9b06-2b845f8c9449,11,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Brittney Murray,2023-03-26 23:29:55.074534,synergize dynamic e-commerce,20
28,6d8f81a7-0c27-463f-bf2b-26dfa4933eb5,11,drive customized content,Initial commit for project drive customized content by Michelle Miller,2023-11-16 14:50:17.101779,drive customized content,14
29,03e78163-981e-4841-a52a-44ac1bf2ee60,10,drive customized content,Initial commit for project drive customized content by Joe Carter,2024-04-05 22:50:21.642030,drive customized content,3
30,42d84106-c6e9-4dfd-9769-ac880e8a5424,6,synergize B2C experiences,Initial commit for project synergize B2C experiences by Elizabeth Smith,2023-11-20 21:40:18.160236,synergize B2C experiences,11
31,75fe4e85-759c-420b-91f5-c44d65c5aabc,4,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Bradley Hampton,2024-02-09 18:07:23.857992,productize cross-platform supply-chains,15
32,14d28a6d-6837-4a35-8b42-ef2e2c0520c6,4,engineer open-source niches,Initial commit for project engineer open-source niches by Jennifer Wilson,2023-12-15 19:39:13.310536,engineer open-source niches,4
33,817fbd24-0507-46f8-8781-9d3b1d69caeb,17,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Michelle Miller,2023-11-03 18:35:41.667532,productize cross-platform supply-chains,14
34,3eebd4cd-2eb4-40e7-9ba6-e2e7e59b04cc,1,strategize B2B relationships,Initial commit for project strategize B2B relationships by John Jefferson,2023-12-27 04:31:37.146036,strategize B2B relationships,8
35,b102fc0e-99ca-4f89-a5db-4a1edd8cca34,5,synergize B2C experiences,Initial commit for project synergize B2C experiences by Tanya Ware,2024-02-09 12:46:28.113387,synergize B2C experiences,10
36,bb9c5770-2fef-479f-a6a0-a8c3901cfa2a,9,strategize B2B relationships,Initial commit for project strategize B2B relationships by Douglas Rollins,2023-12-15 20:36:07.989011,strategize B2B relationships,5
37,5a37f2b9-cc8d-44bb-86dd-a6b66b4ca242,10,strategize B2B relationships,Initial commit for project strategize B2B relationships by Mark Bruce,2024-03-30 14:47:36.560630,strategize B2B relationships,17
38,ac58ca37-1fde-4165-a6c1-34d902a61671,4,synergize B2C experiences,Initial commit for project synergize B2C experiences by Brittney Murray,2024-04-13 23:05:52.183977,synergize B2C experiences,20
39,d16bac30-01d1-4d5d-955e-ece61472c0c5,20,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Elizabeth Smith,2023-11-29 19:02:30.369789,productize cross-platform supply-chains,11
40,f0736ecb-242a-450a-927f-26f5eb51989a,13,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Joe Carter,2023-03-22 22:07:33.384270,repurpose viral supply-chains,3
41,59c62981-536c-467b-9e04-83b9edaf4f91,2,reinvent vertical networks,Initial commit for project reinvent vertical networks by Tanya Ware,2023-04-18 21:44:02.535636,reinvent vertical networks,10
42,ce2d6b3c-4874-468c-a2df-267ec688b606,2,synergize B2C experiences,Initial commit for project synergize B2C experiences by Jennifer Chandler,2024-07-05 20:28:26.999491,synergize B2C experiences,12
43,de8d95b4-ed75-4fda-bcb3-f24f8d863f33,8,strategize B2B relationships,Initial commit for project strategize B2B relationships by Jennifer Chandler,2023-05-12 11:07:34.270098,strategize B2B relationships,12
44,95a738c8-30f7-4d25-96de-5727afdf057e,8,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Logan Brown,2023-04-30 11:06:39.435321,engineer cross-media e-business,18
45,c3577527-4484-404b-8995-633a22607cf0,11,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Joshua Sparks,2024-03-06 22:25:03.367854,repurpose viral supply-chains,7
46,83b4d2e6-24ff-424b-a9aa-8fca8258632b,4,synergize B2C experiences,Initial commit for project synergize B2C experiences by Christopher Mullen,2023-06-10 04:42:34.178705,synergize B2C experiences,13
47,4b6b23d1-1c68-4b8e-8daf-6c1ccd7bf1b0,4,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by John Jefferson,2023-05-14 15:10:54.257384,synergize dynamic e-commerce,8
48,c2a20f36-353d-44e0-9943-b146fe8ced30,19,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Douglas Rollins,2023-12-24 01:33:26.869779,productize cross-platform supply-chains,5
49,710307ca-7ead-416e-96a8-3c2871b966fe,1,strategize B2B relationships,Initial commit for project strategize B2B relationships by Bradley Hampton,2024-03-03 00:08:30.679986,strategize B2B relationships,15
50,ac293b43-2d4c-4452-9788-31e028b9fff2,15,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Susan Bates,2024-06-12 23:14:47.499780,engineer cross-media e-business,19
51,91cf2761-b26a-40b9-8575-aca57a5cf567,8,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Christopher Mullen,2023-07-30 05:13:54.945827,synergize dynamic e-commerce,13
52,10a32efe-3fc8-41a7-ac5c-9e1c0ab05120,14,drive customized content,Initial commit for project drive customized content by Shane Cook,2024-01-23 06:28:53.892389,drive customized content,6
53,e51a62e1-4b14-4891-939e-afc36b7ec7cb,11,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by John Jefferson,2024-06-15 08:43:02.762253,engineer cross-media e-business,8
54,3b2c6044-bd9c-48b8-94d8-0d438a282be0,14,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Susan Bates,2024-04-21 13:40:42.497161,engineer cross-media e-business,19
55,b9b2368d-06c2-4924-9286-eba17e08e79f,6,drive customized content,Initial commit for project drive customized content by Tanya Ware,2024-03-21 01:38:39.306722,drive customized content,10
56,c4e3fde7-c8dd-4e0f-b64d-ff3d4428fdf1,7,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Christopher Mullen,2023-08-06 04:12:45.866589,engineer cross-media e-business,13
57,f3f33cfc-d8e3-4d0d-9fb6-b0a84a79f3c4,2,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Shane Cook,2024-02-04 09:46:04.607839,engineer cross-media e-business,6
58,f0b63761-c9b8-44bd-b507-8abaa301f691,17,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Jennifer Wilson,2023-11-08 22:28:30.895223,productize cross-platform supply-chains,4
59,bd464c6d-6f2a-4a0a-9f62-f8dfe558b717,6,drive customized content,Initial commit for project drive customized content by Douglas Rollins,2024-01-08 15:01:40.704044,drive customized content,5
60,a6556c2e-4ebd-426d-bf63-485962ca7e9e,1,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Joe Carter,2023-10-14 00:03:50.281267,synergize dynamic e-commerce,3
61,dda4f59c-384b-41bc-9797-6b5ee7c354ed,7,enable best-of-breed deliverables,Initial commit for project enable best-of-breed deliverables by John Jefferson,2023-07-24 22:40:56.139085,enable best-of-breed deliverables,8
62,2c96b3d2-7b8d-4007-ba0c-6216adbc9215,3,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Susan Bates,2023-03-31 08:47:47.476669,synergize dynamic e-commerce,19
63,ddc55d1f-6153-4d75-b41a-1e5d3fabdbbf,16,reinvent vertical networks,Initial commit for project reinvent vertical networks by Joe Carter,2023-05-31 23:47:34.776354,reinvent vertical networks,3
64,aaf2d806-2b6b-40fd-8738-dec017f1f352,6,reinvent vertical networks,Initial commit for project reinvent vertical networks by Shane Cook,2023-02-06 08:39:34.052799,reinvent vertical networks,6
65,63c44d18-6aaf-4b5a-9862-0ec8d6f814f4,7,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Shane Cook,2023-12-14 20:22:57.797697,synergize dynamic e-commerce,6
66,c30aefff-b042-4f6d-af7f-29c5a9a3b950,14,engineer open-source niches,Initial commit for project engineer open-source niches by Nancy Rogers,2024-05-11 17:40:30.317375,engineer open-source niches,2
67,959ba128-b8a7-4864-ad57-ce4a1a55adfc,2,reinvent vertical networks,Initial commit for project reinvent vertical networks by Elizabeth Arroyo,2024-01-26 08:17:17.083763,reinvent vertical networks,9
68,e185bd01-6e0b-4909-8b1f-e8d5d10aa6d0,16,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Elizabeth Smith,2023-07-21 05:53:43.232055,productize cross-platform supply-chains,11
69,f1b4919e-b5ad-4273-b146-e23c88ff3191,18,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Joe Carter,2023-05-13 07:58:28.272684,synergize dynamic e-commerce,3
70,88ecf7c8-b17e-4739-940f-8710c2b24dbd,9,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Logan Brown,2023-08-31 12:45:20.133424,synergize dynamic e-commerce,18
71,461edb0e-1533-4fa9-89df-d8843f6ff923,18,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Susan Bates,2023-11-20 19:48:24.053032,engineer cross-media e-business,19
72,2fc22724-002a-4bf4-9fdb-b207a52327bc,16,drive customized content,Initial commit for project drive customized content by Bradley Hampton,2023-12-04 06:45:05.908250,drive customized content,15
73,ba28b1d2-5955-4e74-a966-673007ba11c3,4,reinvent vertical networks,Initial commit for project reinvent vertical networks by Joe Carter,2024-02-06 01:45:45.801977,reinvent vertical networks,3
74,12113edc-cba9-48e8-bc06-19ff2cb23df1,4,enable best-of-breed deliverables,Initial commit for project enable best-of-breed deliverables by Elizabeth Arroyo,2023-07-03 01:33:28.523368,enable best-of-breed deliverables,9
75,57bdb2f9-6e64-4f8c-922f-54e11eee5146,6,synergize B2C experiences,Initial commit for project synergize B2C experiences by Nancy Rogers,2023-06-11 22:38:14.028553,synergize B2C experiences,2
76,32a35bdd-40ba-4f72-b537-a2647244d767,12,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Jennifer Wilson,2024-04-16 12:27:54.964004,engineer cross-media e-business,4
77,55bf3af0-ade8-45b0-af86-0ab477e6ce59,5,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Jennifer Chandler,2023-07-16 20:33:51.844536,repurpose viral supply-chains,12
78,b3b9b57d-a954-40b0-90c4-f73a27ca8254,14,reinvent vertical networks,Initial commit for project reinvent vertical networks by Shane Cook,2024-06-20 21:11:32.043242,reinvent vertical networks,6
79,d556b563-a996-4b66-8ee0-898427092c71,19,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Susan Bates,2024-02-24 09:17:45.778466,productize cross-platform supply-chains,19
80,3c4910fd-f60b-4e49-9fa1-79da4c54d164,3,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Joe Carter,2023-10-06 22:52:05.714990,repurpose viral supply-chains,3
81,3e087d07-7be8-4602-ba5a-0a0ee6c94a2d,10,reinvent vertical networks,Initial commit for project reinvent vertical networks by Joe Carter,2023-03-27 17:20:12.922464,reinvent vertical networks,3
82,1616ac6f-17a3-4d73-b854-5c0061c137f0,16,enable best-of-breed deliverables,Initial commit for project enable best-of-breed deliverables by Tanya Ware,2023-12-07 19:26:09.239960,enable best-of-breed deliverables,10
83,7bf5bd24-7ae7-4c0d-8bb6-7f7342c7cfba,7,reinvent vertical networks,Initial commit for project reinvent vertical networks by Michelle Miller,2024-06-23 08:44:01.586478,reinvent vertical networks,14
84,258156e0-5d8c-4012-8e88-e972df0034c0,15,engineer open-source niches,Initial commit for project engineer open-source niches by Elizabeth Smith,2024-04-11 23:14:16.011279,engineer open-source niches,11
85,be970da5-bb92-4f76-a35d-19f6c98918a7,1,reinvent vertical networks,Initial commit for project reinvent vertical networks by Douglas Rollins,2023-10-27 09:17:45.467074,reinvent vertical networks,5
86,99604b0e-937f-428f-92da-f4b54a5c5e1e,3,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by John Jefferson,2024-02-01 11:30:39.123276,engineer cross-media e-business,8
87,132a62e4-14cf-4b05-9318-5c4a9cd3429b,19,reinvent vertical networks,Initial commit for project reinvent vertical networks by Brittney Murray,2023-02-02 02:43:07.172701,reinvent vertical networks,20
88,4030801a-8b53-46a9-aae2-4605a6c8afbf,5,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Audrey Daniels,2023-04-20 02:25:49.796507,repurpose viral supply-chains,1
89,17191e3c-e78a-463d-b092-47eb2d7fe9a0,13,engineer open-source niches,Initial commit for project engineer open-source niches by Jennifer Wilson,2023-08-02 17:14:49.158100,engineer open-source niches,4
90,f58e7e0a-f726-4c1d-a177-0abfa9e4990f,1,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Shane Cook,2024-02-05 14:21:06.641599,synergize dynamic e-commerce,6
91,2722b1d4-1980-4c12-b545-9ad3a0a8529d,3,engineer open-source niches,Initial commit for project engineer open-source niches by Michelle Miller,2023-05-05 20:30:18.591524,engineer open-source niches,14
92,d83d75c3-7bcf-4aed-a46e-b9ee71975d04,19,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Susan Bates,2023-07-02 02:09:24.443933,engineer cross-media e-business,19
93,e5ceab77-2a38-458d-91a4-029e70e93192,10,reinvent vertical networks,Initial commit for project reinvent vertical networks by Elizabeth Arroyo,2023-11-22 11:04:10.694734,reinvent vertical networks,9
94,ac5546f1-0c0f-4a7f-a3ad-f0bafb21ce41,17,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Logan Brown,2023-05-30 10:15:42.174018,synergize dynamic e-commerce,18
95,e0fb47b1-33ba-485a-8afd-3ebc0bab94be,14,reinvent vertical networks,Initial commit for project reinvent vertical networks by Douglas Rollins,2024-03-21 04:45:45.048519,reinvent vertical networks,5
96,59d64f6a-44b4-4e1e-a657-1cbcaf111ffa,15,reinvent vertical networks,Initial commit for project reinvent vertical networks by Tanya Ware,2023-08-15 07:32:48.534299,reinvent vertical networks,10
97,dd6e53a1-0d30-4846-9b6e-542051bf17b5,12,drive customized content,Initial commit for project drive customized content by Bradley Hampton,2024-04-03 20:17:24.496236,drive customized content,15
98,d6af2ad2-dae9-4072-906a-b92a1cbab681,19,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Elizabeth Smith,2023-03-24 13:16:02.278633,synergize dynamic e-commerce,11
99,c6707176-48bd-4364-b695-9d121836ab0e,1,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Susan Bates,2023-09-27 20:54:28.415287,synergize dynamic e-commerce,19
100,eb826772-49b8-4c3c-94ba-802b485b1559,4,strategize B2B relationships,Initial commit for project strategize B2B relationships by Michelle Miller,2023-08-10 22:54:53.594972,strategize B2B relationships,14
